"Station","Date.local.","Tmax.C.","Period.Hrs.","Tmin.C.","Period.Hrs..1","Tgmin.C.","Period.Hrs..2","Tmean.C.","RHmean...","Period.Hrs..3","Freq"
"Dunedin, Musselburgh Ews","20210510:0900",18.7,24,11.9,24,10.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210511:0900",17.5,24,12.2,24,8.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210512:0900",18.1,24,4.9,24,1.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210513:0900",12,24,3.3,24,-2.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210514:0900",12.2,24,3.8,24,-0.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210515:0900",14.7,24,9.2,24,6.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210516:0900",13,24,6.5,24,4.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210517:0900",13.6,24,3.5,24,-3.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210518:0900",16,24,3.7,24,-0.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210519:0900",10.2,24,4.6,24,1.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210520:0900",15,24,10,24,5.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210521:0900",18.7,24,8,24,1.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210522:0900",13.3,24,4.3,24,-1.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210523:0900",17,24,4.3,24,-1.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210524:0900",16.3,24,5.2,24,0.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210525:0900",9.9,24,0.6,24,-4.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210526:0900",10.6,24,-0.3,24,-6.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210527:0900",12.1,24,0.2,24,-6.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210528:0900",10.2,24,3.6,24,-1.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210529:0900",9.6,24,7.2,24,5.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210530:0900",10.8,24,9.1,24,7.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210531:0900",11.3,24,9.9,24,9.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210601:0900",11.5,24,5.3,24,2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210602:0900",11.2,24,5.6,24,0.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210603:0900",14,24,6.9,24,2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210604:0900",15.6,24,7.3,24,1.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210605:0900",14.8,24,8.7,24,3.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210606:0900",14.2,24,8.6,24,6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210607:0900",13.6,24,4.5,24,-0.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210608:0900",11.9,24,4.6,24,-0.1,24,NA,NA,NA,"D"
